2023-04-17 18:38:26,877 INFO    MainThread:8431 [wandb_setup.py:_flush():76] Configure stats pid to 8431
2023-04-17 18:38:26,878 INFO    MainThread:8431 [wandb_setup.py:_flush():76] Loading settings from /home/boostfish/.config/wandb/settings
2023-04-17 18:38:26,878 INFO    MainThread:8431 [wandb_setup.py:_flush():76] Loading settings from /home/boostfish/SUIM/wandb/settings
2023-04-17 18:38:26,878 INFO    MainThread:8431 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-17 18:38:26,878 INFO    MainThread:8431 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-17 18:38:26,878 INFO    MainThread:8431 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_suimnet.py', 'program': '/home/boostfish/SUIM/train_suimnet.py'}
2023-04-17 18:38:26,878 INFO    MainThread:8431 [wandb_init.py:_log_setup():507] Logging user logs to /home/boostfish/SUIM/wandb/run-20230417_183826-ixpdghmj/logs/debug.log
2023-04-17 18:38:26,878 INFO    MainThread:8431 [wandb_init.py:_log_setup():508] Logging internal logs to /home/boostfish/SUIM/wandb/run-20230417_183826-ixpdghmj/logs/debug-internal.log
2023-04-17 18:38:26,878 INFO    MainThread:8431 [wandb_init.py:init():547] calling init triggers
2023-04-17 18:38:26,878 INFO    MainThread:8431 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'bs': 12}
2023-04-17 18:38:26,878 INFO    MainThread:8431 [wandb_init.py:init():595] starting backend
2023-04-17 18:38:26,878 INFO    MainThread:8431 [wandb_init.py:init():599] setting up manager
2023-04-17 18:38:26,879 INFO    MainThread:8431 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-17 18:38:26,880 INFO    MainThread:8431 [wandb_init.py:init():605] backend started and connected
2023-04-17 18:38:26,881 INFO    MainThread:8431 [wandb_init.py:init():695] updated telemetry
2023-04-17 18:38:26,884 INFO    MainThread:8431 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-17 18:38:27,308 INFO    MainThread:8431 [wandb_run.py:_on_init():2176] communicating current version
2023-04-17 18:38:27,405 INFO    MainThread:8431 [wandb_run.py:_on_init():2185] got version response 
2023-04-17 18:38:27,405 INFO    MainThread:8431 [wandb_init.py:init():782] starting run threads in backend
2023-04-17 18:38:30,055 INFO    MainThread:8431 [wandb_run.py:_console_start():2157] atexit reg
2023-04-17 18:38:30,056 INFO    MainThread:8431 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-17 18:38:30,056 INFO    MainThread:8431 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-17 18:38:30,056 INFO    MainThread:8431 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-17 18:38:30,056 INFO    MainThread:8431 [wandb_init.py:init():824] run started, returning control to user process
