2023-04-17 19:08:13,430 INFO    MainThread:15139 [wandb_setup.py:_flush():76] Configure stats pid to 15139
2023-04-17 19:08:13,431 INFO    MainThread:15139 [wandb_setup.py:_flush():76] Loading settings from /home/boostfish/.config/wandb/settings
2023-04-17 19:08:13,431 INFO    MainThread:15139 [wandb_setup.py:_flush():76] Loading settings from /home/boostfish/SUIM/wandb/settings
2023-04-17 19:08:13,431 INFO    MainThread:15139 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-17 19:08:13,431 INFO    MainThread:15139 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-17 19:08:13,431 INFO    MainThread:15139 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_suimnet.py', 'program': '/home/boostfish/SUIM/train_suimnet.py'}
2023-04-17 19:08:13,431 INFO    MainThread:15139 [wandb_init.py:_log_setup():507] Logging user logs to /home/boostfish/SUIM/wandb/run-20230417_190813-o617y6r3/logs/debug.log
2023-04-17 19:08:13,431 INFO    MainThread:15139 [wandb_init.py:_log_setup():508] Logging internal logs to /home/boostfish/SUIM/wandb/run-20230417_190813-o617y6r3/logs/debug-internal.log
2023-04-17 19:08:13,431 INFO    MainThread:15139 [wandb_init.py:init():547] calling init triggers
2023-04-17 19:08:13,431 INFO    MainThread:15139 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'bs': 12}
2023-04-17 19:08:13,432 INFO    MainThread:15139 [wandb_init.py:init():595] starting backend
2023-04-17 19:08:13,432 INFO    MainThread:15139 [wandb_init.py:init():599] setting up manager
2023-04-17 19:08:13,434 INFO    MainThread:15139 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-17 19:08:13,437 INFO    MainThread:15139 [wandb_init.py:init():605] backend started and connected
2023-04-17 19:08:13,439 INFO    MainThread:15139 [wandb_init.py:init():695] updated telemetry
2023-04-17 19:08:13,443 INFO    MainThread:15139 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-17 19:08:14,043 INFO    MainThread:15139 [wandb_run.py:_on_init():2176] communicating current version
2023-04-17 19:08:14,141 INFO    MainThread:15139 [wandb_run.py:_on_init():2185] got version response 
2023-04-17 19:08:14,141 INFO    MainThread:15139 [wandb_init.py:init():782] starting run threads in backend
2023-04-17 19:08:16,853 INFO    MainThread:15139 [wandb_run.py:_console_start():2157] atexit reg
2023-04-17 19:08:16,854 INFO    MainThread:15139 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-17 19:08:16,854 INFO    MainThread:15139 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-17 19:08:16,854 INFO    MainThread:15139 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-17 19:08:16,854 INFO    MainThread:15139 [wandb_init.py:init():824] run started, returning control to user process
2023-04-17 19:09:05,722 WARNING MsgRouterThr:15139 [router.py:message_loop():77] message_loop has been closed
