2023-09-22 17:09:04,148 INFO    MainThread:12714 [wandb_setup.py:_flush():76] Current SDK version is 0.15.11
2023-09-22 17:09:04,149 INFO    MainThread:12714 [wandb_setup.py:_flush():76] Configure stats pid to 12714
2023-09-22 17:09:04,149 INFO    MainThread:12714 [wandb_setup.py:_flush():76] Loading settings from /home/workfish/.config/wandb/settings
2023-09-22 17:09:04,149 INFO    MainThread:12714 [wandb_setup.py:_flush():76] Loading settings from /home/workfish/SUIM/wandb/settings
2023-09-22 17:09:04,149 INFO    MainThread:12714 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-09-22 17:09:04,149 INFO    MainThread:12714 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-09-22 17:09:04,149 INFO    MainThread:12714 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train_suimnet.py', 'program_abspath': '/home/workfish/SUIM/train_suimnet.py', 'program': '/home/workfish/SUIM/train_suimnet.py'}
2023-09-22 17:09:04,149 INFO    MainThread:12714 [wandb_init.py:_log_setup():528] Logging user logs to /home/workfish/SUIM/wandb/run-20230922_170904-g1bq1v81/logs/debug.log
2023-09-22 17:09:04,149 INFO    MainThread:12714 [wandb_init.py:_log_setup():529] Logging internal logs to /home/workfish/SUIM/wandb/run-20230922_170904-g1bq1v81/logs/debug-internal.log
2023-09-22 17:09:04,149 INFO    MainThread:12714 [wandb_init.py:init():568] calling init triggers
2023-09-22 17:09:04,149 INFO    MainThread:12714 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'bs': 10}
2023-09-22 17:09:04,149 INFO    MainThread:12714 [wandb_init.py:init():618] starting backend
2023-09-22 17:09:04,149 INFO    MainThread:12714 [wandb_init.py:init():622] setting up manager
2023-09-22 17:09:04,150 INFO    MainThread:12714 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-09-22 17:09:04,151 INFO    MainThread:12714 [wandb_init.py:init():628] backend started and connected
2023-09-22 17:09:04,153 INFO    MainThread:12714 [wandb_init.py:init():720] updated telemetry
2023-09-22 17:09:04,162 INFO    MainThread:12714 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-09-22 17:09:04,620 INFO    MainThread:12714 [wandb_run.py:_on_init():2220] communicating current version
2023-09-22 17:09:04,709 INFO    MainThread:12714 [wandb_run.py:_on_init():2229] got version response 
2023-09-22 17:09:04,709 INFO    MainThread:12714 [wandb_init.py:init():804] starting run threads in backend
2023-09-22 17:09:05,814 INFO    MainThread:12714 [wandb_run.py:_console_start():2199] atexit reg
2023-09-22 17:09:05,814 INFO    MainThread:12714 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-09-22 17:09:05,814 INFO    MainThread:12714 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-09-22 17:09:05,814 INFO    MainThread:12714 [wandb_run.py:_redirect():2144] Redirects installed.
2023-09-22 17:09:05,815 INFO    MainThread:12714 [wandb_init.py:init():845] run started, returning control to user process
2023-09-22 17:09:42,766 WARNING MsgRouterThr:12714 [router.py:message_loop():77] message_loop has been closed
