2023-09-26 18:30:44,085 INFO    StreamThr :9038 [internal.py:wandb_internal():86] W&B internal server running at pid: 9038, started at: 2023-09-26 18:30:44.085071
2023-09-26 18:30:44,086 DEBUG   HandlerThread:9038 [handler.py:handle_request():144] handle_request: status
2023-09-26 18:30:44,087 INFO    WriterThread:9038 [datastore.py:open_for_write():85] open: /home/workfish/SUIM/wandb/run-20230926_183044-rpiua42k/run-rpiua42k.wandb
2023-09-26 18:30:44,087 DEBUG   SenderThread:9038 [sender.py:send():380] send: header
2023-09-26 18:30:44,092 DEBUG   SenderThread:9038 [sender.py:send():380] send: run
2023-09-26 18:30:44,602 INFO    SenderThread:9038 [dir_watcher.py:__init__():211] watching files in: /home/workfish/SUIM/wandb/run-20230926_183044-rpiua42k/files
2023-09-26 18:30:44,602 INFO    SenderThread:9038 [sender.py:_start_run_threads():1122] run started: rpiua42k with start time 1695745844.085025
2023-09-26 18:30:44,608 DEBUG   HandlerThread:9038 [handler.py:handle_request():144] handle_request: check_version
2023-09-26 18:30:44,608 DEBUG   SenderThread:9038 [sender.py:send_request():407] send_request: check_version
2023-09-26 18:30:44,701 DEBUG   HandlerThread:9038 [handler.py:handle_request():144] handle_request: run_start
2023-09-26 18:30:44,703 DEBUG   HandlerThread:9038 [system_info.py:__init__():32] System info init
2023-09-26 18:30:44,703 DEBUG   HandlerThread:9038 [system_info.py:__init__():47] System info init done
2023-09-26 18:30:44,703 INFO    HandlerThread:9038 [system_monitor.py:start():181] Starting system monitor
2023-09-26 18:30:44,703 INFO    SystemMonitor:9038 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-09-26 18:30:44,703 INFO    HandlerThread:9038 [system_monitor.py:probe():201] Collecting system info
2023-09-26 18:30:44,703 INFO    SystemMonitor:9038 [interfaces.py:start():190] Started cpu monitoring
2023-09-26 18:30:44,703 INFO    SystemMonitor:9038 [interfaces.py:start():190] Started disk monitoring
2023-09-26 18:30:44,704 INFO    SystemMonitor:9038 [interfaces.py:start():190] Started gpu monitoring
2023-09-26 18:30:44,704 INFO    SystemMonitor:9038 [interfaces.py:start():190] Started memory monitoring
2023-09-26 18:30:44,705 INFO    SystemMonitor:9038 [interfaces.py:start():190] Started network monitoring
2023-09-26 18:30:44,752 DEBUG   HandlerThread:9038 [system_info.py:probe():196] Probing system
2023-09-26 18:30:44,752 DEBUG   HandlerThread:9038 [system_info.py:_probe_git():181] Probing git
2023-09-26 18:30:44,758 DEBUG   HandlerThread:9038 [system_info.py:_probe_git():189] Probing git done
2023-09-26 18:30:44,758 DEBUG   HandlerThread:9038 [system_info.py:probe():244] Probing system done
2023-09-26 18:30:44,758 DEBUG   HandlerThread:9038 [system_monitor.py:probe():210] {'os': 'Linux-5.15.0-46-generic-x86_64-with-glibc2.31', 'python': '3.9.18', 'heartbeatAt': '2023-09-26T16:30:44.752111', 'startedAt': '2023-09-26T16:30:44.082449', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '/home/workfish/SUIM/train_unet.py', 'codePathLocal': 'train_unet.py', 'codePath': 'train_unet.py', 'git': {'remote': 'git@github.com:debaumann/SUIM.git', 'commit': '9cbaa0e26eab5c944670720fdedadb70039e21d5'}, 'email': 'debaumann@ethz.ch', 'root': '/home/workfish/SUIM', 'host': 'workfish-B450M-H', 'username': 'workfish', 'executable': '/home/workfish/miniconda3/envs/tf/bin/python', 'cpu_count': 6, 'cpu_count_logical': 12, 'cpu_freq': {'current': 2522.0999166666666, 'min': 2200.0, 'max': 3700.0}, 'cpu_freq_per_core': [{'current': 2200.0, 'min': 2200.0, 'max': 3700.0}, {'current': 3695.498, 'min': 2200.0, 'max': 3700.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3700.0}, {'current': 2800.0, 'min': 2200.0, 'max': 3700.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3700.0}, {'current': 4631.548, 'min': 2200.0, 'max': 3700.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3700.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3700.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3700.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3700.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3700.0}, {'current': 2200.0, 'min': 2200.0, 'max': 3700.0}], 'disk': {'/': {'total': 915.3232879638672, 'used': 28.00324249267578}}, 'gpu': 'NVIDIA GeForce RTX 2070', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce RTX 2070', 'memory_total': 8366784512}], 'memory': {'total': 15.544548034667969}}
2023-09-26 18:30:44,758 INFO    HandlerThread:9038 [system_monitor.py:probe():211] Finished collecting system info
2023-09-26 18:30:44,758 INFO    HandlerThread:9038 [system_monitor.py:probe():214] Publishing system info
2023-09-26 18:30:44,758 DEBUG   HandlerThread:9038 [system_info.py:_save_pip():52] Saving list of pip packages installed into the current environment
2023-09-26 18:30:44,758 DEBUG   HandlerThread:9038 [system_info.py:_save_pip():68] Saving pip packages done
2023-09-26 18:30:44,758 DEBUG   HandlerThread:9038 [system_info.py:_save_conda():75] Saving list of conda packages installed into the current environment
2023-09-26 18:30:45,604 INFO    Thread-12 :9038 [dir_watcher.py:_on_file_created():271] file/dir created: /home/workfish/SUIM/wandb/run-20230926_183044-rpiua42k/files/requirements.txt
2023-09-26 18:30:45,604 INFO    Thread-12 :9038 [dir_watcher.py:_on_file_created():271] file/dir created: /home/workfish/SUIM/wandb/run-20230926_183044-rpiua42k/files/conda-environment.yaml
2023-09-26 18:30:45,843 DEBUG   HandlerThread:9038 [system_info.py:_save_conda():87] Saving conda packages done
2023-09-26 18:30:45,844 INFO    HandlerThread:9038 [system_monitor.py:probe():216] Finished publishing system info
2023-09-26 18:30:45,847 DEBUG   SenderThread:9038 [sender.py:send():380] send: files
2023-09-26 18:30:45,848 INFO    SenderThread:9038 [sender.py:_save_file():1378] saving file wandb-metadata.json with policy now
2023-09-26 18:30:45,851 DEBUG   SenderThread:9038 [sender.py:send():380] send: telemetry
2023-09-26 18:30:45,851 DEBUG   HandlerThread:9038 [handler.py:handle_request():144] handle_request: internal_messages
2023-09-26 18:30:45,851 DEBUG   HandlerThread:9038 [handler.py:handle_request():144] handle_request: stop_status
2023-09-26 18:30:45,852 DEBUG   SenderThread:9038 [sender.py:send_request():407] send_request: stop_status
2023-09-26 18:30:46,458 INFO    wandb-upload_0:9038 [upload_job.py:push():131] Uploaded file /tmp/tmphs3rhw3pwandb/m3nznir9-wandb-metadata.json
2023-09-26 18:30:46,603 INFO    Thread-12 :9038 [dir_watcher.py:_on_file_modified():288] file/dir modified: /home/workfish/SUIM/wandb/run-20230926_183044-rpiua42k/files/conda-environment.yaml
2023-09-26 18:30:46,603 INFO    Thread-12 :9038 [dir_watcher.py:_on_file_created():271] file/dir created: /home/workfish/SUIM/wandb/run-20230926_183044-rpiua42k/files/wandb-metadata.json
2023-09-26 18:30:49,122 DEBUG   HandlerThread:9038 [handler.py:handle_request():144] handle_request: status_report
2023-09-26 18:30:54,123 DEBUG   HandlerThread:9038 [handler.py:handle_request():144] handle_request: status_report
2023-09-26 18:30:56,327 DEBUG   SenderThread:9038 [sender.py:send():380] send: exit
2023-09-26 18:30:56,327 INFO    SenderThread:9038 [sender.py:send_exit():585] handling exit code: 1
2023-09-26 18:30:56,327 INFO    SenderThread:9038 [sender.py:send_exit():587] handling runtime: 11
2023-09-26 18:30:56,329 INFO    SenderThread:9038 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-09-26 18:30:56,329 INFO    SenderThread:9038 [sender.py:send_exit():593] send defer
2023-09-26 18:30:56,329 DEBUG   HandlerThread:9038 [handler.py:handle_request():144] handle_request: defer
2023-09-26 18:30:56,329 INFO    HandlerThread:9038 [handler.py:handle_request_defer():170] handle defer: 0
2023-09-26 18:30:56,329 DEBUG   SenderThread:9038 [sender.py:send_request():407] send_request: defer
2023-09-26 18:30:56,329 INFO    SenderThread:9038 [sender.py:send_request_defer():609] handle sender defer: 0
2023-09-26 18:30:56,329 INFO    SenderThread:9038 [sender.py:transition_state():613] send defer: 1
2023-09-26 18:30:56,329 DEBUG   HandlerThread:9038 [handler.py:handle_request():144] handle_request: defer
2023-09-26 18:30:56,329 INFO    HandlerThread:9038 [handler.py:handle_request_defer():170] handle defer: 1
